"","department_descr","product_group_descr","product_module_descr","new_label"
"101","DRY GROCERY","FLOUR","CORN MEAL","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"102","DRY GROCERY","FLOUR","FLOUR - ALL PURPOSE - REMAINING","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"103","DRY GROCERY","FLOUR","FLOUR - SINGLE PURPOSE","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"104","DRY GROCERY","FLOUR","FLOUR-ALL PURPOSE-WHITE WHEAT","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"105","DRY GROCERY","FLOUR","PERISHABLE FLOUR AND MEAL","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"106","DAIRY","YEAST","YEAST-REFRIGERATED","Baking goods (frozen baked goods, baking mixes, baking supplies, dough products)"
"107","GENERAL MERCHANDISE","BATTERIES AND FLASHLIGHTS","BATTERIES","Batteries and flashlights"
"108","GENERAL MERCHANDISE","BATTERIES AND FLASHLIGHTS","FLASHLIGHTS","Batteries and flashlights"
"109","GENERAL MERCHANDISE","LIGHT BULBS, ELECTRIC GOODS","BATTERY CHARGERS","Battery chargers"
"110","ALCOHOLIC BEVERAGES","BEER","BEER","Beer"
"111","ALCOHOLIC BEVERAGES","BEER","NEAR BEER/MALT BEVERAGE","Beer"
"112","ALCOHOLIC BEVERAGES","BEER","STOUT AND PORTER","Beer"
"113","ALCOHOLIC BEVERAGES","BEER","LIGHT BEER (LOW CALORIE/ALCOHOL)","Beer"
"114","ALCOHOLIC BEVERAGES","BEER","ALE","Beer"
"115","ALCOHOLIC BEVERAGES","BEER","MALT LIQUOR","Beer"
"116","ALCOHOLIC BEVERAGES","BEER","RBC BEER","Beer"
"117","GENERAL MERCHANDISE","HOUSEWARES, APPLIANCES","RBC COFFEE AND TEA MAKER APPLIANCE","Beverage preparation appliances (e.g., for tea, coffee, beer and wine)"
"118","GENERAL MERCHANDISE","HOUSEWARES, APPLIANCES","BEER & WINE MAKING KITS","Beverage preparation appliances (e.g., for tea, coffee, beer and wine)"
